Data Statistik Produksi Perikanan Budi Daya Ikan Hias
Tahun,Provinsi,Kabupaten/Kota,Kelompok Ikan,Jenis Ikan Hias,Volume Produksi (Ekor),Nilai Produksi (Rp Juta)
2023,ACEH,PIDIE,CUPANG,Ikan Hias Air Tawar,21755,326325000
2023,ACEH,PIDIE,GUPI,Ikan Hias Air Tawar,16724,94812000
2023,ACEH,PIDIE,MAS,Ikan Hias Air Tawar,26523,551505000
2023,ACEH,PIDIE,MOLI,Ikan Hias Air Tawar,29970,389700000
2023,ACEH,PIDIE,PLATI,Ikan Hias Air Tawar,7868,93030000
2023,BALI,BADUNG,MAS,Ikan Hias Air Tawar,915,137250000
2023,BALI,BANGLI,KOKI,Ikan Hias Air Tawar,6000,180000000
2023,BALI,BANGLI,KOMET,Ikan Hias Air Tawar,830,4150000
2023,BALI,BANGLI,MAS,Ikan Hias Air Tawar,35950,719000000
2023,BALI,BULELENG,KOMET,Ikan Hias Air Tawar,2000,5000000
2023,BALI,BULELENG,MAS,Ikan Hias Air Tawar,26404,660100000
2023,BALI,KARANGASEM,KOMET,Ikan Hias Air Tawar,2060,16480000
2023,BALI,KARANGASEM,MAS,Ikan Hias Air Tawar,15500,77500000
2023,BALI,KOTA DENPASAR,KOKI,Ikan Hias Air Tawar,2690,403500000
2023,BALI,KOTA DENPASAR,KOMET,Ikan Hias Air Tawar,500,1250000
2023,BALI,KOTA DENPASAR,MAS,Ikan Hias Air Tawar,2165,6495000
2023,BALI,TABANAN,MAS,Ikan Hias Air Tawar,117855,527625000
2023,BANTEN,KOTA SERANG,GUPI,Ikan Hias Air Tawar,11595,57975000
2023,BANTEN,KOTA TANGERANG,ANGELFISH,Ikan Hias Air Tawar,2910,11640000
2023,BANTEN,KOTA TANGERANG,BLACK GHOST,Ikan Hias Air Tawar,181800,1090800000
2023,BANTEN,KOTA TANGERANG,CUPANG,Ikan Hias Air Tawar,82934,829340000
2023,BANTEN,KOTA TANGERANG,GUPI,Ikan Hias Air Tawar,130828,261656000
2023,BANTEN,KOTA TANGERANG,KEPE-KEPE,Ikan Hias Air Tawar,279,8370000
2023,BANTEN,KOTA TANGERANG,KOKI,Ikan Hias Air Tawar,34900,174500000
2023,BANTEN,KOTA TANGERANG,LOBSTER TAWAR,Ikan Hias Air Tawar,24775,123875000
2023,BANTEN,KOTA TANGERANG,MAS,Ikan Hias Air Tawar,14600,43800000
2023,BANTEN,KOTA TANGERANG,MOLI,Ikan Hias Air Tawar,40000,80000000
2023,BANTEN,KOTA TANGERANG,OSKAR,Ikan Hias Air Tawar,1050,10500000
2023,BANTEN,KOTA TANGERANG,PLATI,Ikan Hias Air Tawar,12224,18336000
2023,BANTEN,KOTA TANGERANG SELATAN,ANGELFISH,Ikan Hias Air Tawar,9100,22750000
2023,BANTEN,KOTA TANGERANG SELATAN,BLACK GHOST,Ikan Hias Air Tawar,600000,900000000
