Data Statistik Produksi Perikanan Budi Daya Pembenihan
Tahun,Provinsi,Jenis Pembenihan,Kabupaten/Kota,Kelompok Ikan,Volume Produksi (Ribu Ekor),Nilai Produksi (Rp Juta)
2023,ACEH,Pembenihan Air Laut,ACEH SINGKIL,Kakap,32.00,96
2023,ACEH,Pembenihan Air Laut,ACEH TIMUR,Udang,4030.00,174
2023,ACEH,Pembenihan Air Laut,ACEH UTARA,Udang,9100.00,455
2023,ACEH,Pembenihan Air Laut,BIREUEN,Udang,384000.00,20622
2023,ACEH,Pembenihan Air Laut,PIDIE,Udang,612.00,31
2023,ACEH,Pembenihan Air Laut,PIDIE JAYA,Udang,177520.00,6613
2023,ACEH,Pembenihan Air Tawar,ACEH BARAT,Lele,320.00,96
2023,ACEH,Pembenihan Air Tawar,ACEH BARAT DAYA,Mas,10.00,2
2023,ACEH,Pembenihan Air Tawar,ACEH BARAT DAYA,Nila,5.00,1
2023,ACEH,Pembenihan Air Tawar,ACEH BESAR,Gurami,7800.00,13125
2023,ACEH,Pembenihan Air Tawar,ACEH BESAR,Lele,21350.00,10675
2023,ACEH,Pembenihan Air Tawar,ACEH BESAR,Mas,15350.00,7675
2023,ACEH,Pembenihan Air Tawar,ACEH BESAR,Nila,36500.00,10950
2023,ACEH,Pembenihan Air Tawar,ACEH SELATAN,Gurami,5.00,2
2023,ACEH,Pembenihan Air Tawar,ACEH SELATAN,Lele,147.00,44
2023,ACEH,Pembenihan Air Tawar,ACEH SELATAN,Nila,230.00,69
2023,ACEH,Pembenihan Air Tawar,ACEH SINGKIL,Lele,660.00,164
2023,ACEH,Pembenihan Air Tawar,ACEH SINGKIL,Nila,447.00,143
2023,ACEH,Pembenihan Air Tawar,ACEH TAMIANG,Gurami,882.00,3087
2023,ACEH,Pembenihan Air Tawar,ACEH TAMIANG,Lele,778.00,311
2023,ACEH,Pembenihan Air Tawar,ACEH TAMIANG,Nila,820.00,492
2023,ACEH,Pembenihan Air Tawar,ACEH TENGAH,Mas,16.00,16
2023,ACEH,Pembenihan Air Tawar,ACEH TENGAH,Nila,5416.00,2708
2023,ACEH,Pembenihan Air Tawar,ACEH TENGGARA,Gurami,810.00,438
2023,ACEH,Pembenihan Air Tawar,ACEH TENGGARA,Julung-julung,600.00,2100
2023,ACEH,Pembenihan Air Tawar,ACEH TENGGARA,Mas,19550.00,7742
2023,ACEH,Pembenihan Air Tawar,ACEH TENGGARA,Nila,41667.00,10715
2023,ACEH,Pembenihan Air Tawar,ACEH TENGGARA,Tawes,1150.00,172
2023,ACEH,Pembenihan Air Tawar,ACEH TIMUR,Lele,1025.00,512
2023,ACEH,Pembenihan Air Tawar,ACEH UTARA,Lele,1780.00,445
2023,ACEH,Pembenihan Air Tawar,ACEH UTARA,Nila,3850.00,1155
2023,ACEH,Pembenihan Air Tawar,BENER MERIAH,Mas,2461.00,1477
2023,ACEH,Pembenihan Air Tawar,BENER MERIAH,Nila,6898.00,2069
2023,ACEH,Pembenihan Air Tawar,BIREUEN,Lele,11900.00,3570
2023,ACEH,Pembenihan Air Tawar,BIREUEN,Nila,25600.00,7680
2023,ACEH,Pembenihan Air Tawar,GAYO LUES,Lele,30000.00,12000
2023,ACEH,Pembenihan Air Tawar,GAYO LUES,Mas,165000.00,66000
2023,ACEH,Pembenihan Air Tawar,GAYO LUES,Nila,246340.00,95263
2023,ACEH,Pembenihan Air Tawar,KOTA LHOKSEUMAWE,Lele,142.00,43
2023,ACEH,Pembenihan Air Tawar,KOTA LHOKSEUMAWE,Mujair,6.00,1
2023,ACEH,Pembenihan Air Tawar,KOTA LHOKSEUMAWE,Nila,109.00,33
2023,ACEH,Pembenihan Air Tawar,KOTA SUBULUSSALAM,Gurami,900.00,1350
