Data Statistik Produksi Perikanan Budi Daya Pembesaran
Tahun,Provinsi,Jenis Pembesaran,Kabupaten/Kota,Matra,Kelompok Ikan,Jenis Ikan,Volume Produksi (Ton),Nilai Produksi (Rp 000)
2023,ACEH,JARING APUNG LAUT,ACEH BESAR,LAUT,IKAN LAINNYA,KUWE,10.78,304522
2023,ACEH,JARING APUNG LAUT,ACEH BESAR,LAUT,KAKAP,KAKAP PUTIH,14.19,489520
2023,ACEH,JARING APUNG LAUT,ACEH BESAR,LAUT,KERAPU,KERAPU MACAN,22.08,1114993
2023,ACEH,JARING APUNG LAUT,ACEH SINGKIL,LAUT,KAKAP,KAKAP PUTIH; BARAMUNDI,8.30,359550
2023,ACEH,JARING APUNG LAUT,KOTA BANDA ACEH,LAUT,BAWAL BINTANG,BAWAL BINTANG,0.56,43000
2023,ACEH,JARING APUNG LAUT,KOTA BANDA ACEH,LAUT,IKAN LAINNYA,KUWE,0.81,63000
2023,ACEH,JARING APUNG LAUT,KOTA BANDA ACEH,LAUT,KAKAP,KAKAP MERAH,0.56,43800
2023,ACEH,JARING APUNG LAUT,KOTA BANDA ACEH,LAUT,KAKAP,KAKAP PUTIH,0.66,51300
2023,ACEH,JARING APUNG LAUT,KOTA BANDA ACEH,LAUT,KERAPU,KERAPU MACAN,0.81,64800
2023,ACEH,JARING APUNG LAUT,KOTA LHOKSEUMAWE,LAUT,KAKAP,KAKAP PUTIH; BARAMUNDI,3.75,206470
2023,ACEH,JARING APUNG LAUT,KOTA LHOKSEUMAWE,LAUT,KERAPU,KERAPU MACAN,41.83,4182800
2023,ACEH,JARING APUNG LAUT,SIMEULUE,LAUT,KAKAP,KAKAP PUTIH,28.00,980000
2023,ACEH,JARING APUNG TAWAR,ACEH BARAT,TAWAR,LELE,LELE,17.62,440500
2023,ACEH,JARING APUNG TAWAR,ACEH BARAT,TAWAR,NILA,NILA,2.58,84300
2023,ACEH,JARING APUNG TAWAR,ACEH SINGKIL,TAWAR,NILA,NILA,0.92,36640
2023,ACEH,JARING APUNG TAWAR,ACEH TENGAH,TAWAR,MAS,MAS,126.99,4444755
2023,ACEH,JARING APUNG TAWAR,ACEH TENGAH,TAWAR,NILA,NILA,499.51,14985210
2023,ACEH,JARING APUNG TAWAR,ACEH UTARA,TAWAR,GURAMI,GURAME; GURAMI,8.04,522600
2023,ACEH,JARING APUNG TAWAR,ACEH UTARA,TAWAR,NILA,NILA,349.42,12229700
2023,ACEH,JARING TANCAP TAWAR,ACEH SINGKIL,,GURAMI,GURAME; GURAMI,0.31,12240
2023,ACEH,JARING TANCAP TAWAR,ACEH SINGKIL,,IKAN LAINNYA,"GABUS ",0.20,7960
2023,ACEH,JARING TANCAP TAWAR,ACEH SINGKIL,,NILA,NILA,0.71,28200
2023,ACEH,JARING TANCAP TAWAR,ACEH TENGAH,,MAS,MAS,5.02,175770
2023,ACEH,JARING TANCAP TAWAR,ACEH TENGAH,,NILA,NILA,22.73,681840
2023,ACEH,JARING TANCAP TAWAR,GAYO LUES,,IKAN LAINNYA,BAWAL AIR TAWAR,0.26,9205
2023,ACEH,JARING TANCAP TAWAR,GAYO LUES,,IKAN LAINNYA,"GABUS ",0.28,22640
2023,ACEH,JARING TANCAP TAWAR,GAYO LUES,,LELE,LELE,0.91,28960
2023,ACEH,JARING TANCAP TAWAR,GAYO LUES,,MAS,MAS,3.13,109410
2023,ACEH,JARING TANCAP TAWAR,GAYO LUES,,NILA,NILA,6.19,216650
2023,ACEH,JARING TANCAP TAWAR,GAYO LUES,,PATIN,PATIN,0.36,12425
2023,ACEH,KARAMBA,ACEH TENGAH,TAWAR,MAS,MAS,0.32,11235
2023,ACEH,KARAMBA,ACEH TENGAH,TAWAR,NILA,NILA,0.80,23850
2023,ACEH,KARAMBA,KOTA LHOKSEUMAWE,TAWAR,IKAN LAINNYA,MUJAIR,160.47,3690810
2023,ACEH,KARAMBA,KOTA LHOKSEUMAWE,TAWAR,NILA,NILA,27.49,523520
2023,ACEH,KOLAM AIR DERAS,ACEH TENGAH,TAWAR,MAS,MAS,0.24,8540
2023,ACEH,KOLAM AIR DERAS,ACEH TENGAH,TAWAR,NILA,NILA,0.53,15750
2023,ACEH,KOLAM AIR DERAS,ACEH TENGGARA,TAWAR,MAS,MAS,34.00,1020000
2023,ACEH,KOLAM AIR DERAS,ACEH TENGGARA,TAWAR,NILA,NILA,5.30,169440
2023,ACEH,KOLAM AIR TENANG,ACEH BARAT,TAWAR,LELE,LELE,63.95,1598750
2023,ACEH,KOLAM AIR TENANG,ACEH BARAT,TAWAR,MAS,MAS,9.50,332500
2023,ACEH,KOLAM AIR TENANG,ACEH BARAT,TAWAR,NILA,NILA,46.40,1392000
2023,ACEH,KOLAM AIR TENANG,ACEH BARAT,TAWAR,PATIN,PATIN,3.40,119000
2023,ACEH,KOLAM AIR TENANG,ACEH BARAT DAYA,TAWAR,LELE,LELE,73.80,2066400
2023,ACEH,KOLAM AIR TENANG,ACEH BARAT DAYA,TAWAR,MAS,MAS,34.80,1135500
2023,ACEH,KOLAM AIR TENANG,ACEH BARAT DAYA,TAWAR,NILA,NILA,79.10,2257800
2023,ACEH,KOLAM AIR TENANG,ACEH BESAR,TAWAR,GURAMI,GURAME; GURAMI,9.24,397148
2023,ACEH,KOLAM AIR TENANG,ACEH BESAR,TAWAR,IKAN LAINNYA,MUJAIR,44.69,1318144
2023,ACEH,KOLAM AIR TENANG,ACEH BESAR,TAWAR,LELE,LELE,36.61,1281455
2023,ACEH,KOLAM AIR TENANG,ACEH BESAR,TAWAR,MAS,MAS,24.97,1054848
2023,ACEH,KOLAM AIR TENANG,ACEH BESAR,TAWAR,NILA,NILA,67.82,1322510
2023,ACEH,KOLAM AIR TENANG,ACEH BESAR,TAWAR,PATIN,PATIN,1.23,30800
2023,ACEH,KOLAM AIR TENANG,ACEH SELATAN,TAWAR,GURAMI,GURAME; GURAMI,1.12,89200
2023,ACEH,KOLAM AIR TENANG,ACEH SELATAN,TAWAR,IKAN LAINNYA,BAWAL AIR TAWAR,0.97,34055
2023,ACEH,KOLAM AIR TENANG,ACEH SELATAN,TAWAR,LELE,LELE,100.74,2518425
2023,ACEH,KOLAM AIR TENANG,ACEH SELATAN,TAWAR,MAS,MAS,8.93,357080
2023,ACEH,KOLAM AIR TENANG,ACEH SELATAN,TAWAR,NILA,NILA,19.46,778400
2023,ACEH,KOLAM AIR TENANG,ACEH SINGKIL,TAWAR,LELE,LELE,60.25,1807500
2023,ACEH,KOLAM AIR TENANG,ACEH SINGKIL,TAWAR,MAS,MAS,6.29,251720
2023,ACEH,KOLAM AIR TENANG,ACEH SINGKIL,TAWAR,NILA,NILA,49.32,1972960
2023,ACEH,KOLAM AIR TENANG,ACEH TAMIANG,TAWAR,GURAMI,GURAME; GURAMI,19.40,873000
2023,ACEH,KOLAM AIR TENANG,ACEH TAMIANG,TAWAR,IKAN LAINNYA,BAWAL AIR TAWAR,2.90,101500
2023,ACEH,KOLAM AIR TENANG,ACEH TAMIANG,TAWAR,LELE,LELE,84.10,1345600
2023,ACEH,KOLAM AIR TENANG,ACEH TAMIANG,TAWAR,MAS,MAS,4.80,144000
2023,ACEH,KOLAM AIR TENANG,ACEH TAMIANG,TAWAR,NILA,NILA,45.20,1130000
2023,ACEH,KOLAM AIR TENANG,ACEH TAMIANG,TAWAR,PATIN,PATIN,4.60,138000
