Data Statistik Produksi Perikanan Perikanan Tangkap Perairan Darat
Tahun,Provinsi,Kabupaten/Kota,Jenis Perairan,Jenis Kapal,Jenis Alat Tangkap,Kelompok,Volume Produksi (Ton),Nilai Produksi (Rp 000)
2023,ACEH,ACEH BARAT,SUNGAI,NTP,ANCO,NILA,22.66,724960
2023,ACEH,ACEH BARAT,SUNGAI,NTP,ANCO,NILEM,9.67,290130
2023,ACEH,ACEH BARAT,SUNGAI,NTP,BUBU,GABUS,3.24,113260
2023,ACEH,ACEH BARAT,SUNGAI,NTP,BUBU,LELE,21.44,600432
2023,ACEH,ACEH BARAT,SUNGAI,NTP,BUBU,NILA,5.89,188544
2023,ACEH,ACEH BARAT,SUNGAI,NTP,BUBU,NILEM,2.52,75630
2023,ACEH,ACEH BARAT,SUNGAI,NTP,BUBU,UDANG,0.85,33800
2023,ACEH,ACEH BARAT,SUNGAI,NTP,JALA TEBAR,NILA,4.23,135200
2023,ACEH,ACEH BARAT,SUNGAI,NTP,JALA TEBAR,NILEM,2.06,61800
2023,ACEH,ACEH BARAT,SUNGAI,NTP,JALA TEBAR,UDANG,0.64,25680
2023,ACEH,ACEH BARAT,SUNGAI,NTP,PANCING BERJORAN,UDANG,3.27,130680
2023,ACEH,ACEH BARAT,SUNGAI,NTP,PANCING ULUR,GABUS,14.96,523425
2023,ACEH,ACEH BARAT,SUNGAI,PTM,ANCO,NILA,23.72,759136
2023,ACEH,ACEH BARAT,SUNGAI,PTM,ANCO,NILEM,13.66,409770
2023,ACEH,ACEH BARAT,SUNGAI,PTM,BUBU,GABUS,3.47,121415
2023,ACEH,ACEH BARAT,SUNGAI,PTM,BUBU,LELE,23.81,666736
2023,ACEH,ACEH BARAT,SUNGAI,PTM,BUBU,NILA,5.51,176416
2023,ACEH,ACEH BARAT,SUNGAI,PTM,BUBU,NILEM,2.88,86460
2023,ACEH,ACEH BARAT,SUNGAI,PTM,BUBU,UDANG,0.86,34360
2023,ACEH,ACEH BARAT,SUNGAI,PTM,JALA TEBAR,NILA,2.97,95040
2023,ACEH,ACEH BARAT,SUNGAI,PTM,JALA TEBAR,NILEM,1.43,42780
2023,ACEH,ACEH BARAT,SUNGAI,PTM,JALA TEBAR,UDANG,0.44,17640
2023,ACEH,ACEH BARAT,SUNGAI,PTM,PANCING BERJORAN,UDANG,3.93,157080
2023,ACEH,ACEH BARAT,SUNGAI,PTM,PANCING ULUR,GABUS,25.08,877940
2023,ACEH,ACEH BARAT,SUNGAI,PTM,PANCING ULUR,LELE,6.93,193900
2023,ACEH,ACEH BARAT,SUNGAI,PTM,PANCING ULUR,NILA,8.28,264960
2023,ACEH,ACEH BARAT,SUNGAI,PTM,PANCING ULUR,UDANG,1.23,49040
2023,ACEH,ACEH BARAT DAYA,SUNGAI,PTM,BUBU,KEPITING,5.58,390530
2023,ACEH,ACEH BARAT DAYA,SUNGAI,PTM,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",BELANAK,0.66,6620
2023,ACEH,ACEH BARAT DAYA,SUNGAI,PTM,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",KACI-KACI,0.44,20715
2023,ACEH,ACEH BARAT DAYA,SUNGAI,PTM,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",MUJAIR,0.28,8805
2023,ACEH,ACEH BARAT DAYA,SUNGAI,PTM,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",PATUNG,1.38,13800
2023,ACEH,ACEH BARAT DAYA,SUNGAI,PTM,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",SEPAT,0.39,8405
2023,ACEH,ACEH BARAT DAYA,SUNGAI,PTM,"JARING INSANG HANYUT, JARING GILLNET OSEANIK",TAWES,0.17,2248
2023,ACEH,ACEH BESAR,SUNGAI,NTP,BUBU,GURAMI,1.01,54778
2023,ACEH,ACEH BESAR,SUNGAI,NTP,BUBU,LELE,1.07,32160
2023,ACEH,ACEH BESAR,SUNGAI,NTP,BUBU,MAS,1.24,44738
2023,ACEH,ACEH BESAR,SUNGAI,NTP,BUBU,NILA,1.13,38376
2023,ACEH,ACEH BESAR,SUNGAI,NTP,BUBU,SIDAT,1.18,116663
2023,ACEH,ACEH BESAR,SUNGAI,NTP,JALA TEBAR,GURAMI,2.88,155520
2023,ACEH,ACEH BESAR,SUNGAI,NTP,JALA TEBAR,LELE,3.04,91080
2023,ACEH,ACEH BESAR,SUNGAI,NTP,JALA TEBAR,MAS,3.52,126576
2023,ACEH,ACEH BESAR,SUNGAI,NTP,JALA TEBAR,NILA,3.20,108664
2023,ACEH,ACEH BESAR,SUNGAI,NTP,JALA TEBAR,SIDAT,3.36,330566
2023,ACEH,ACEH BESAR,SUNGAI,NTP,JARING INSANG LINGKAR,GURAMI,4.57,246876
2023,ACEH,ACEH BESAR,SUNGAI,NTP,JARING INSANG LINGKAR,LELE,4.82,144630
2023,ACEH,ACEH BESAR,SUNGAI,NTP,JARING INSANG LINGKAR,MAS,5.33,191994
2023,ACEH,ACEH BESAR,SUNGAI,NTP,JARING INSANG LINGKAR,NILA,5.58,189941
2023,ACEH,ACEH BESAR,SUNGAI,NTP,JARING INSANG LINGKAR,SIDAT,5.08,500148
2023,ACEH,ACEH BESAR,SUNGAI,NTP,PANCING BERJORAN,GURAMI,6.60,356703
2023,ACEH,ACEH BESAR,SUNGAI,NTP,PANCING BERJORAN,LELE,6.95,208500
2023,ACEH,ACEH BESAR,SUNGAI,NTP,PANCING BERJORAN,MAS,7.65,275385
2023,ACEH,ACEH BESAR,SUNGAI,NTP,PANCING BERJORAN,NILA,6.26,212805
2023,ACEH,ACEH BESAR,SUNGAI,NTP,PANCING BERJORAN,SIDAT,7.30,718993
2023,ACEH,ACEH BESAR,SUNGAI,NTP,PANCING ULUR,GURAMI,5.67,306232
2023,ACEH,ACEH BESAR,SUNGAI,NTP,PANCING ULUR,LELE,5.96,178920
2023,ACEH,ACEH BESAR,SUNGAI,NTP,PANCING ULUR,MAS,6.56,236346
2023,ACEH,ACEH BESAR,SUNGAI,NTP,PANCING ULUR,NILA,5.37,182662
2023,ACEH,ACEH BESAR,SUNGAI,NTP,PANCING ULUR,SIDAT,6.26,616874
2023,ACEH,ACEH BESAR,WADUK,NTP,BUBU,GURAMI,0.53,28820
2023,ACEH,ACEH BESAR,WADUK,NTP,BUBU,LELE,0.56,16860
2023,ACEH,ACEH BESAR,WADUK,NTP,BUBU,MAS,0.65,23384
2023,ACEH,ACEH BESAR,WADUK,NTP,BUBU,NILA,0.59,20079
2023,ACEH,ACEH BESAR,WADUK,NTP,BUBU,SIDAT,0.62,61143
2023,ACEH,ACEH BESAR,WADUK,NTP,JALA TEBAR,GURAMI,1.69,91236
2023,ACEH,ACEH BESAR,WADUK,NTP,JALA TEBAR,LELE,1.78,53460
2023,ACEH,ACEH BESAR,WADUK,NTP,JALA TEBAR,MAS,2.06,74272
2023,ACEH,ACEH BESAR,WADUK,NTP,JALA TEBAR,NILA,1.88,63756
2023,ACEH,ACEH BESAR,WADUK,NTP,JALA TEBAR,SIDAT,1.97,193903
2023,ACEH,ACEH BESAR,WADUK,NTP,JARING INSANG LINGKAR,GURAMI,5.44,293847
2023,ACEH,ACEH BESAR,WADUK,NTP,JARING INSANG LINGKAR,LELE,5.74,172320
2023,ACEH,ACEH BESAR,WADUK,NTP,JARING INSANG LINGKAR,MAS,6.35,228475
2023,ACEH,ACEH BESAR,WADUK,NTP,JARING INSANG LINGKAR,NILA,6.66,226208
2023,ACEH,ACEH BESAR,WADUK,NTP,JARING INSANG LINGKAR,SIDAT,6.05,595602
2023,ACEH,ACEH BESAR,WADUK,NTP,PANCING BERJORAN,GURAMI,2.69,145822
2023,ACEH,ACEH BESAR,WADUK,NTP,PANCING BERJORAN,LELE,2.84,85050
2023,ACEH,ACEH BESAR,WADUK,NTP,PANCING BERJORAN,MAS,3.12,112687
2023,ACEH,ACEH BESAR,WADUK,NTP,PANCING BERJORAN,NILA,2.55,87166
2023,ACEH,ACEH BESAR,WADUK,NTP,PANCING BERJORAN,SIDAT,2.98,294006
2023,ACEH,ACEH BESAR,WADUK,NTP,PANCING ULUR,GURAMI,2.75,148267
2023,ACEH,ACEH BESAR,WADUK,NTP,PANCING ULUR,LELE,2.89,86820
2023,ACEH,ACEH BESAR,WADUK,NTP,PANCING ULUR,MAS,3.19,114388
2023,ACEH,ACEH BESAR,WADUK,NTP,PANCING ULUR,NILA,2.61,88368
2023,ACEH,ACEH BESAR,WADUK,NTP,PANCING ULUR,SIDAT,3.04,299086
2023,ACEH,ACEH JAYA,SUNGAI,MT_0005,BUBU,KEPITING,274.20,15081000
2023,ACEH,ACEH JAYA,SUNGAI,MT_0005,"JARING INSANG BERLAPIS, JARING KLITIK",BELANAK,131.00,3013000
2023,ACEH,ACEH JAYA,SUNGAI,MT_0005,"JARING INSANG BERLAPIS, JARING KLITIK",GABUS,101.00,3030000
2023,ACEH,ACEH JAYA,SUNGAI,MT_0005,"JARING INSANG BERLAPIS, JARING KLITIK",KEPITING,86.00,4730000
2023,ACEH,ACEH JAYA,SUNGAI,MT_0005,"JARING INSANG BERLAPIS, JARING KLITIK",NILA,132.00,4620000
2023,ACEH,ACEH JAYA,SUNGAI,MT_0005,"JARING INSANG TETAP, JARING LIONG BUN",BELANAK,277.00,6371000
2023,ACEH,ACEH JAYA,SUNGAI,MT_0005,"JARING INSANG TETAP, JARING LIONG BUN",GABUS,273.00,8190000
2023,ACEH,ACEH JAYA,SUNGAI,MT_0005,"JARING INSANG TETAP, JARING LIONG BUN",NILA,452.60,15841000
2023,ACEH,ACEH JAYA,SUNGAI,MT_0005,PANCING ULUR,GABUS,335.92,10077600
2023,ACEH,ACEH JAYA,SUNGAI,MT_0005,PANCING ULUR,NILA,423.20,14812000
2023,ACEH,ACEH JAYA,SUNGAI,PTM,JALA TEBAR,BELANAK,115.40,2654200
2023,ACEH,ACEH JAYA,SUNGAI,PTM,JALA TEBAR,NILA,139.00,4865000
2023,ACEH,ACEH SELATAN,SUNGAI,NTP,ANCO,MUJAIR,2.93,73250
2023,ACEH,ACEH SELATAN,SUNGAI,NTP,ANCO,NILA,2.85,71250
2023,ACEH,ACEH SELATAN,SUNGAI,NTP,BUBU,GABUS,2.61,104200
